iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
166	0.5517054456	0.8988289471	0.779494382
167	0.5510270067	0.8988289471	0.779494382
168	0.5503193906	0.8988289471	0.779494382
169	0.5496934806	0.8988289471	0.779494382
170	0.5489811569	0.8988289471	0.779494382
171	0.5483061858	0.8988289471	0.779494382
172	0.5476423181	0.8988289471	0.779494382
173	0.5469646417	0.8988289471	0.779494382
174	0.5462264294	0.8988289471	0.779494382
175	0.5456236034	0.8988289471	0.779494382
176	0.5449717235	0.8988289471	0.779494382
177	0.544284179	0.8988289471	0.779494382
178	0.5436770938	0.8988289471	0.779494382
179	0.5430069017	0.8988289471	0.779494382
180	0.5423566099	0.8988289471	0.779494382
181	0.5416982383	0.8988289471	0.779494382
182	0.5410331596	0.8988289471	0.779494382
183	0.5403249368	0.8988289471	0.779494382
184	0.5396186168	0.8988289471	0.779494382
185	0.5389181259	0.8988289471	0.779494382
186	0.5382542318	0.8988289471	0.779494382
187	0.5375737087	0.8988289471	0.779494382
188	0.5369118865	0.8988289471	0.779494382
189	0.5362423393	0.8988289471	0.779494382
190	0.5356015726	0.8988289471	0.779494382
191	0.534907507	0.8988289471	0.779494382
192	0.5343302322	0.8988289471	0.779494382
193	0.5336804788	0.8988289471	0.779494382
194	0.5330502194	0.8988289471	0.779494382
195	0.5323491346	0.8988289471	0.779494382
196	0.5317546174	0.8988289471	0.779494382
197	0.5311067925	0.8988289471	0.779494382
198	0.5305599689	0.8988289471	0.779494382
199	0.5299167039	0.8988289471	0.779494382
200	0.5293659025	0.8988289471	0.779494382
201	0.5286914397	0.8988289471	0.779494382
202	0.5279957651	0.8988289471	0.779494382
203	0.5273482358	0.8988289471	0.779494382
204	0.526700094	0.8988289471	0.779494382
205	0.526080763	0.8988289471	0.779494382
206	0.5255100704	0.8988289471	0.779494382
207	0.5248944645	0.8988289471	0.779494382
208	0.5243305879	0.8988289471	0.779494382
209	0.5237257248	0.8988289471	0.779494382
210	0.5230959401	0.8988289471	0.779494382
211	0.5224670978	0.8988289471	0.779494382
212	0.521883255	0.8988289471	0.779494382
213	0.5213115719	0.8988289471	0.779494382
214	0.5207156745	0.8988289471	0.779494382
215	0.520112131	0.8988289471	0.779494382
216	0.5195458851	0.8988289471	0.779494382
217	0.5188895354	0.8988289471	0.779494382
218	0.5182475719	0.8988289471	0.779494382
219	0.5176260774	0.8988289471	0.779494382
220	0.5170364359	0.8988289471	0.779494382
221	0.5164387958	0.8988289471	0.779494382
222	0.5158362571	0.8988289471	0.779494382
223	0.515279453	0.8988289471	0.779494382
224	0.5146700805	0.8988289471	0.779494382
225	0.5141174011	0.8988289471	0.779494382
226	0.5135124423	0.8988289471	0.779494382
227	0.5128739491	0.8988289471	0.779494382
228	0.5122531932	0.8988289471	0.779494382
229	0.5116400566	0.8988289471	0.779494382
230	0.5110210083	0.8988289471	0.779494382
231	0.5104411412	0.8988289471	0.779494382
232	0.5099280304	0.8988289471	0.779494382
233	0.509361846	0.8988289471	0.779494382
234	0.5087404	0.8988289471	0.779494382
235	0.5081882097	0.8988289471	0.779494382
236	0.5076069119	0.8988289471	0.779494382
237	0.5070477652	0.8988289471	0.779494382
238	0.5064444826	0.8988289471	0.779494382
239	0.505912284	0.8988289471	0.779494382
240	0.5053772531	0.8988289471	0.779494382
241	0.5048683813	0.8988289471	0.779494382
242	0.5043641099	0.8988289471	0.779494382
243	0.5037372211	0.8988289471	0.779494382
